date,cash,market_value,equity,positions
2023-06-12,1000000.0,0.0,1000000.0,0
2023-06-15,634512.0,370956.0,1005468.0,4
2023-06-16,462081.18,546153.0,1008234.18,5
2023-06-19,237780.86,759434.0,997214.86,6
2023-06-20,237780.86,755429.0,993209.86,6
2023-06-21,324709.74,671776.0,996485.74,5
2023-06-26,468068.71,524583.0,992651.71,4
2023-06-27,468068.71,531844.0,999912.71,4
2023-06-28,468068.71,529827.0,997895.71,4
2023-06-29,420848.44,569664.0,990512.44,4
2023-06-30,322332.84,670527.0,992859.84,5
2023-07-03,223256.09,781930.0,1005186.09,6
2023-07-04,175943.79,834463.0,1010406.79,6
2023-07-05,175943.79,833467.0,1009410.79,6
2023-07-06,321495.08,684268.0,1005763.08,5
2023-07-07,321495.08,683750.0,1005245.08,5
2023-07-10,321495.08,673476.0,994971.08,5
2023-07-11,273796.68,727935.0,1001731.68,5
2023-07-12,273796.68,728465.0,1002261.68,5
2023-07-13,273796.68,741910.0,1015706.68,5
2023-07-14,85803.92,928564.0,1014367.92,7
2023-07-17,81046.87,928029.0,1009075.87,7
2023-07-18,317397.1,688738.0,1006135.1,5
2023-07-19,317397.1,692812.0,1010209.1,5
2023-07-20,311602.04,691814.0,1003416.04,5
2023-07-21,311602.04,685951.0,997553.04,5
2023-07-24,323691.51,667030.0,990721.51,5
2023-07-25,132073.69,875127.0,1007200.69,7
2023-07-26,3552.6,998227.0,1001779.6,9
2023-07-27,3552.6,997077.0,1000629.6,9
2023-07-28,198.57,1017593.0,1017791.57,10
2023-07-31,198.57,1010986.0,1011184.57,10
2023-08-01,1913.07,1008920.0,1010833.07,10
2023-08-02,1913.07,994501.0,996414.07,10
2023-08-03,37435.29,966787.0,1004222.29,9
2023-08-04,2426.19,1002146.0,1004572.19,9
2023-08-07,2426.19,995854.0,998280.19,9
2023-08-08,2426.19,990443.0,992869.19,9
2023-08-09,2426.19,995347.0,997773.19,9
2023-08-10,2426.19,998238.0,1000664.19,9
2023-08-11,805.58,975023.0,975828.58,9
2023-08-14,141392.65,819957.0,961349.65,8
2023-08-15,290791.86,669066.0,959857.86,5
2023-08-16,290791.86,669776.0,960567.86,5
2023-08-17,290791.86,676494.0,967285.86,5
2023-08-18,290791.86,669290.0,960081.86,5
2023-08-21,290791.86,659568.0,950359.86,5
2023-08-22,290791.86,661774.0,952565.86,5
2023-08-23,378578.47,566074.0,944652.47,4
2023-08-24,378578.47,575396.0,953974.47,4
2023-08-25,378578.47,576590.0,955168.47,4
2023-08-28,284053.9,675538.0,959591.9,5
2023-08-29,188088.96,775579.0,963667.96,6
2023-08-30,280418.74,678150.0,958568.74,5
2023-08-31,277818.71,674695.0,952513.71,5
2023-09-01,89361.72,866006.0,955367.72,7
2023-09-04,44419.01,925697.0,970116.01,7
2023-09-05,82541.44,877144.0,959685.44,7
2023-09-06,82541.44,869802.0,952343.44,7
2023-09-07,2181.54,941368.0,943549.54,8
2023-09-08,137078.94,801228.0,938306.94,7
2023-09-11,137078.94,805308.0,942386.94,7
2023-09-12,137078.94,803291.0,940369.94,7
2023-09-13,44234.8,897663.0,941897.8,8
2023-09-14,44234.8,903230.0,947464.8,8
2023-09-15,1112.59,948334.0,949446.59,8
2023-09-18,123114.34,824334.0,947448.34,6
2023-09-19,29934.12,922872.0,952806.12,7
2023-09-20,25003.07,923478.0,948481.07,7
2023-09-21,25003.07,911241.0,936244.07,7
2023-09-22,119442.23,828573.0,948015.23,6
2023-09-25,1499.57,943966.0,945465.57,8
2023-09-26,2481.3,938050.0,940531.3,7
2023-09-27,2481.3,950583.0,953064.3,7
2023-09-28,90434.41,859744.0,950178.41,7
2023-10-09,107479.75,838937.0,946416.75,7
2023-10-10,124805.91,814121.0,938926.91,7
2023-10-11,506300.24,434670.0,940970.24,4
2023-10-12,515290.65,425773.0,941063.65,4
2023-10-13,557316.99,382003.0,939319.99,4
2023-10-16,648471.66,289417.0,937888.66,3
2023-10-17,604060.12,335455.0,939515.12,3
2023-10-18,560008.67,376688.0,936696.67,3
2023-10-19,516547.38,414524.0,931071.38,3
2023-10-20,516547.38,408629.0,925176.38,3
2023-10-23,516547.38,408904.0,925451.38,3
2023-10-24,516547.38,410905.0,927452.38,3
2023-10-25,516547.38,405412.0,921959.38,3
2023-10-26,654097.76,272787.0,926884.76,2
2023-10-27,654097.76,282692.0,936789.76,2
2023-10-30,654097.76,289134.0,943231.76,2
2023-10-31,466052.88,473944.0,939996.88,4
2023-11-01,466052.88,467924.0,933976.88,4
2023-11-02,554345.73,380690.0,935035.73,3
2023-11-03,511090.49,424884.0,935974.49,3
2023-11-06,511090.49,430895.0,941985.49,3
2023-11-07,418365.38,523019.0,941384.38,4
2023-11-08,324340.94,619796.0,944136.94,5
2023-11-09,324340.94,614854.0,939194.94,5
2023-11-10,324340.94,613701.0,938041.94,5
2023-11-13,324340.94,606709.0,931049.94,5
2023-11-14,324340.94,605449.0,929789.94,5
2023-11-15,324340.94,611328.0,935668.94,5
2023-11-16,324340.94,605306.0,929646.94,5
2023-11-17,324340.94,606554.0,930894.94,5
2023-11-20,324340.94,608585.0,932925.94,5
2023-11-21,277718.82,656030.0,933748.82,5
2023-11-22,232296.21,692593.0,924889.21,5
2023-11-23,232296.21,694166.0,926462.21,5
2023-11-24,232296.21,689382.0,921678.21,5
2023-11-27,365794.67,553760.0,919554.67,4
2023-11-28,365794.67,555481.0,921275.67,4
2023-11-29,281382.73,637938.0,919320.73,5
2023-11-30,281382.73,638955.0,920337.73,5
2023-12-01,281382.73,634952.0,916334.73,5
2023-12-04,362670.9,548670.0,911340.9,4
2023-12-05,492745.97,412558.0,905303.97,3
2023-12-06,767264.17,137250.0,904514.17,1
2023-12-07,680829.71,222942.0,903771.71,2
2023-12-08,765828.06,137982.0,903810.06,1
2023-12-11,679602.65,227609.0,907211.65,2
2023-12-12,679602.65,227198.0,906800.65,2
2023-12-13,679602.65,226917.0,906519.65,2
2023-12-14,679602.65,227248.0,906850.65,2
2023-12-15,679602.65,223812.0,903414.65,2
2023-12-18,764259.26,140727.0,904986.26,1
2023-12-19,764259.26,140605.0,904864.26,1
2023-12-20,764259.26,142130.0,906389.26,1
2023-12-21,764259.26,141215.0,905474.26,1
2023-12-22,764259.26,141398.0,905657.26,1
2023-12-25,764259.26,142740.0,906999.26,1
2023-12-26,764259.26,143533.0,907792.26,1
2023-12-27,764259.26,143533.0,907792.26,1
2023-12-28,764259.26,142008.0,906267.26,1
2023-12-29,764259.26,142374.0,906633.26,1
2024-01-02,673598.69,234619.0,908217.69,2
2024-01-03,673598.69,234641.0,908239.69,2
2024-01-04,586119.96,322120.0,908239.96,3
2024-01-05,495938.52,413459.0,909397.52,4
2024-01-08,495938.52,413498.0,909436.52,4
2024-01-09,452159.14,455088.0,907247.14,4
2024-01-10,452159.14,451980.0,904139.14,4
2024-01-11,539002.09,361604.0,900606.09,3
2024-01-12,539002.09,363739.0,902741.09,3
2024-01-15,539002.09,366888.0,905890.09,3
2024-01-16,494399.49,414585.0,908984.49,3
2024-01-17,492934.48,410740.0,903674.48,3
2024-01-18,492934.48,410627.0,903561.48,3
2024-01-19,492934.48,410176.0,903110.48,3
2024-01-22,492934.48,404944.0,897878.48,3
2024-01-23,622520.92,277137.0,899657.92,2
2024-01-24,622520.92,282741.0,905261.92,2
2024-01-25,531977.38,380350.0,912327.38,3
2024-01-26,442286.06,480865.0,923151.06,4
2024-01-29,317652.66,608978.0,926630.66,5
2024-01-30,315983.64,606478.0,922461.64,5
2024-01-31,272684.39,651073.0,923757.39,5
2024-02-01,266545.33,651824.0,918369.33,5
2024-02-02,263300.3,652753.0,916053.3,5
2024-02-05,263300.3,665430.0,928730.3,5
2024-02-06,173803.04,759277.0,933080.04,6
2024-02-07,299.13,941025.0,941324.13,9
2024-02-08,299.13,942526.0,942825.13,9
2024-02-19,299.13,954154.0,954453.13,9
2024-02-20,299.13,959052.0,959351.13,9
2024-02-21,299.13,980955.0,981254.13,9
2024-02-22,299.13,990187.0,990486.13,9
2024-02-23,1648.0,985344.0,986992.0,9
2024-02-26,742.99,967462.0,968204.99,9
2024-02-27,742.99,971179.0,971921.99,9
2024-02-28,338.99,969028.0,969366.99,9
2024-02-29,338.99,972654.0,972992.99,9
2024-03-01,338.99,973833.0,974171.99,9
2024-03-04,338.99,971562.0,971900.99,9
2024-03-05,13804.2,969786.0,983590.2,10
2024-03-06,958.86,978507.0,979465.86,10
2024-03-07,143.85,982403.0,982546.85,10
2024-03-08,739.13,976961.0,977700.13,10
2024-03-11,449.69,988257.0,988706.69,10
2024-03-12,35.69,990142.0,990177.69,10
2024-03-13,35.69,976871.0,976906.69,10
2024-03-14,35.69,970088.0,970123.69,10
2024-03-15,35.69,976766.0,976801.69,10
2024-03-18,35.69,979687.0,979722.69,10
2024-03-19,35.69,970612.0,970647.69,10
2024-03-20,35.69,972108.0,972143.69,10
2024-03-21,4445.39,969279.0,973724.39,10
2024-03-22,796.35,960732.0,961528.35,10
2024-03-25,13825.47,948884.0,962709.47,10
2024-03-26,565.06,973322.0,973887.06,9
2024-03-27,565.06,968033.0,968598.06,9
2024-03-28,565.06,972141.0,972706.06,9
2024-03-29,156.06,982471.0,982627.06,9
2024-04-01,156.06,998777.0,998933.06,9
2024-04-02,156.06,996376.0,996532.06,9
2024-04-03,156.06,993165.0,993321.06,9
2024-04-08,19493.98,971563.0,991056.98,8
2024-04-09,1443.8,986463.0,987906.8,9
2024-04-10,1443.8,981739.0,983182.8,9
2024-04-11,169.79,978428.0,978597.79,9
2024-04-12,169.79,969092.0,969261.79,9
2024-04-15,169.79,996083.0,996252.79,9
2024-04-16,169.79,995780.0,995949.79,9
2024-04-17,1735.02,1003379.0,1005114.02,9
2024-04-18,1569.15,1003295.0,1004864.15,9
2024-04-19,19600.92,978935.0,998535.92,8
2024-04-22,1235.74,990031.0,991266.74,8
2024-04-23,176.73,985784.0,985960.73,8
2024-04-24,176.73,989053.0,989229.73,8
2024-04-25,176.73,999575.0,999751.73,8
2024-04-26,176.73,1007658.0,1007834.73,8
2024-04-29,176.73,1012446.0,1012622.73,8
2024-04-30,176.73,1010378.0,1010554.73,8
2024-05-06,176.73,1023707.0,1023883.73,8
2024-05-07,176.73,1021594.0,1021770.73,8
2024-05-08,4502.19,1010203.0,1014705.19,10
2024-05-09,4502.19,1015418.0,1019920.19,10
2024-05-10,3420.18,1020179.0,1023599.18,10
2024-05-13,3420.18,1019074.0,1022494.18,10
2024-05-14,3420.18,1011156.0,1014576.18,10
2024-05-15,3420.18,1002652.0,1006072.18,10
2024-05-16,3420.18,1012191.0,1015611.18,10
2024-05-17,3420.18,1024588.0,1028008.18,10
2024-05-20,2558.52,1023242.0,1025800.52,10
2024-05-21,2558.52,1023991.0,1026549.52,10
2024-05-22,2558.52,1020159.0,1022717.52,10
2024-05-23,4049.02,1008089.0,1012138.02,10
2024-05-24,1092.28,1002076.0,1003168.28,10
2024-05-27,1092.28,1012367.0,1013459.28,10
2024-05-28,62.27,1003290.0,1003352.27,10
2024-05-29,7548.68,993126.0,1000674.68,9
2024-05-30,205.61,990558.0,990763.61,9
2024-05-31,205.61,986525.0,986730.61,9
2024-06-03,18201.38,976360.0,994561.38,9
2024-06-04,52577.59,945136.0,997713.59,8
2024-06-05,2411.17,990092.0,992503.17,8
2024-06-06,2411.17,992470.0,994881.17,8
2024-06-07,2411.17,986546.0,988957.17,8
2024-06-11,115724.99,866666.0,982390.99,7
2024-06-12,239026.21,745933.0,984959.21,6
2024-06-13,239026.21,748710.0,987736.21,6
2024-06-14,239026.21,736826.0,975852.21,6
2024-06-17,382762.89,591365.0,974127.89,5
2024-06-18,407763.88,567135.0,974898.88,4
2024-06-19,550151.59,424531.0,974682.59,3
2024-06-20,550151.59,425116.0,975267.59,3
2024-06-21,550151.59,428024.0,978175.59,3
2024-06-24,514847.42,459255.0,974102.42,3
2024-06-25,558101.14,417481.0,975582.14,3
2024-06-26,558101.14,416035.0,974136.14,3
2024-06-27,558101.14,415666.0,973767.14,3
2024-06-28,558101.14,416510.0,974611.14,3
2024-07-01,461349.99,516262.0,977611.99,4
2024-07-02,461349.99,518742.0,980091.99,4
2024-07-03,266705.4,710402.0,977107.4,6
2024-07-04,220998.52,757577.0,978575.52,6
2024-07-05,218603.5,754159.0,972762.5,6
2024-07-08,407309.96,574490.0,981799.96,4
2024-07-09,407309.96,581075.0,988384.96,4
2024-07-10,310768.86,672807.0,983575.86,5
2024-07-11,264444.82,717741.0,982185.82,5
2024-07-12,305144.02,680042.0,985186.02,5
2024-07-15,157973.76,825446.0,983419.76,6
2024-07-16,248648.79,732617.0,981265.79,5
2024-07-17,335293.63,643551.0,978844.63,5
2024-07-18,427916.13,553103.0,981019.13,5
2024-07-19,449249.9,534709.0,983958.9,5
2024-07-22,400309.18,585189.0,985498.18,5
2024-07-23,351656.53,619946.0,971602.53,5
2024-07-24,284402.05,682804.0,967206.05,5
2024-07-25,284402.05,682778.0,967180.05,5
2024-07-26,284402.05,681470.0,965872.05,5
2024-07-29,378814.25,581837.0,960651.25,4
2024-07-30,378814.25,579275.0,958089.25,4
2024-07-31,378814.25,586489.0,965303.25,4
2024-08-01,192271.76,766019.0,958290.76,6
2024-08-02,192271.76,757688.0,949959.76,6
2024-08-05,192271.76,753378.0,945649.76,6
2024-08-06,473977.5,473580.0,947557.5,4
2024-08-07,473977.5,471107.0,945084.5,4
2024-08-08,427644.46,518912.0,946556.46,4
2024-08-09,427644.46,513688.0,941332.46,4
2024-08-12,427644.46,515573.0,943217.46,4
2024-08-13,427644.46,513829.0,941473.46,4
2024-08-14,427644.46,510109.0,937753.46,4
2024-08-15,515159.89,427236.0,942395.89,3
2024-08-16,515159.89,426670.0,941829.89,3
2024-08-19,515159.89,423398.0,938557.89,3
2024-08-20,515159.89,422648.0,937807.89,3
2024-08-21,515159.89,423240.0,938399.89,3
2024-08-22,515159.89,429445.0,944604.89,3
2024-08-23,332002.27,615557.0,947559.27,5
2024-08-26,240712.54,701699.0,942411.54,6
2024-08-27,240712.54,701107.0,941819.54,6
2024-08-28,240712.54,698343.0,939055.54,6
2024-08-29,381205.68,554450.0,935655.68,5
2024-08-30,609497.05,328742.0,938239.05,3
2024-09-02,442935.76,490583.0,933518.76,5
2024-09-03,235236.77,703824.0,939060.77,7
2024-09-04,185177.84,752988.0,938165.84,7
2024-09-05,269327.08,670890.0,940217.08,6
2024-09-06,224795.5,710585.0,935380.5,6
2024-09-09,224795.5,703756.0,928551.5,6
2024-09-10,351706.98,572745.0,924451.98,5
2024-09-11,351706.98,580989.0,932695.98,5
2024-09-12,314097.2,617518.0,931615.2,5
2024-09-13,222119.29,705577.0,927696.29,6
2024-09-18,107519.49,829976.0,937495.49,7
2024-09-19,37990.41,905453.0,943443.41,7
2024-09-20,37990.41,898925.0,936915.41,7
2024-09-23,37990.41,903308.0,941298.41,7
2024-09-24,4381.67,969805.0,974186.67,7
2024-09-25,168.63,992520.0,992688.63,8
2024-09-26,168.63,1034992.0,1035160.63,8
2024-09-27,168.63,1095952.0,1096120.63,8
2024-09-30,114853.02,1074105.0,1188958.02,9
2024-10-08,615860.98,672461.0,1288321.98,9
2024-10-09,766656.4,480649.0,1247305.4,9
2024-10-10,646225.5,610403.0,1256628.5,9
2024-10-11,360339.36,868879.0,1229218.36,10
2024-10-14,110430.34,1137365.0,1247795.34,10
2024-10-15,2033.08,1212731.0,1214764.08,10
2024-10-16,2033.08,1195940.0,1197973.08,10
2024-10-17,2033.08,1181248.0,1183281.08,10
2024-10-18,2033.08,1217831.0,1219864.08,10
2024-10-21,2033.08,1220489.0,1222522.08,10
2024-10-22,2033.08,1229366.0,1231399.08,10
2024-10-23,2033.08,1237765.0,1239798.08,10
2024-10-24,2033.08,1215888.0,1217921.08,10
2024-10-25,2033.08,1229354.0,1231387.08,10
2024-10-28,860.07,1233661.0,1234521.07,10
2024-10-29,860.07,1220597.0,1221457.07,10
2024-10-30,860.07,1214834.0,1215694.07,10
2024-10-31,860.07,1207297.0,1208157.07,10
2024-11-01,860.07,1204211.0,1205071.07,10
2024-11-04,860.07,1221831.0,1222691.07,10
2024-11-05,860.07,1245190.0,1246050.07,10
2024-11-06,860.07,1228650.0,1229510.07,10
2024-11-07,860.07,1263500.0,1264360.07,10
2024-11-08,860.07,1246342.0,1247202.07,10
2024-11-11,860.07,1247948.0,1248808.07,10
2024-11-12,860.07,1246419.0,1247279.07,10
2024-11-13,860.07,1255177.0,1256037.07,10
2024-11-14,47557.95,1191594.0,1239151.95,10
2024-11-15,4362.72,1217356.0,1221718.72,10
2024-11-18,1252.69,1215267.0,1216519.69,10
2024-11-19,1252.69,1216670.0,1217922.69,10
2024-11-20,1252.69,1229945.0,1231197.69,10
2024-11-21,85.68,1224724.0,1224809.68,10
2024-11-22,85.68,1189935.0,1190020.68,10
2024-11-25,73202.8,1110855.0,1184057.8,10
2024-11-26,23836.69,1162044.0,1185880.69,10
2024-11-27,23836.69,1182557.0,1206393.69,10
2024-11-28,23836.69,1171209.0,1195045.69,10
2024-11-29,23836.69,1184910.0,1208746.69,10
2024-12-02,23836.69,1187912.0,1211748.69,10
2024-12-03,23836.69,1190032.0,1213868.69,10
2024-12-04,23836.69,1180625.0,1204461.69,10
2024-12-05,23836.69,1174997.0,1198833.69,10
2024-12-06,23836.69,1198209.0,1222045.69,10
2024-12-09,2187.47,1220163.0,1222350.47,10
2024-12-10,2187.47,1228423.0,1230610.47,10
2024-12-11,1821.29,1223933.0,1225754.29,9
2024-12-12,1821.29,1236788.0,1238609.29,9
2024-12-13,1821.29,1211337.0,1213158.29,9
2024-12-16,534.6,1200636.0,1201170.6,9
